O que Ç a JVM;"	ê a m†quina virtual que executa o bytecode Java e permite portabilidade."
O que fica na Stack;"	Execuá∆o de mÇtodos e vari†veis/referàncias locais."
O que fica no Heap;"	Objetos criados com new."
Onde fica a vari†vel c em Cidade c = new Cidade();"	c fica na Stack."
Onde fica o objeto new Cidade();"	No Heap."
Quando um objeto vira eleg°vel ao GC;"	Quando n∆o h† mais referància acess°vel apontando para ele."
O que o Garbage Collector faz;"	Remove objetos n∆o referenciados e recupera mem¢ria do Heap."
Por que entender Heap/GC Ç sànior;"	Afeta performance, pausas e mem¢ria em produá∆o."
O que Ç SRP;"	Uma classe deve ter um £nico motivo para mudar."
O que Ç DIP;"	Depender de abstraá‰es (interfaces) e n∆o de classes concretas."
O que Ç Stream;"	Pipeline declarativo para processar coleá‰es."
Streams modificam a lista original;"	N∆o (resultado novo)."
O que Ç Spring Boot;"	Acelerador do Spring com auto-config e defaults."
O que Ç Injeá∆o de Dependància;"	Framework fornece objetos prontos ao invÇs de new."
O que Ç Race Condition;"	Duas threads alteram o mesmo dado ao mesmo tempo."
O que Ç teste unit†rio;"	Teste isolado de uma unidade pequena de l¢gica."
Por que n∆o testar Scanner/System.out;"	""Porque Ç I/O; unit test testa regra."""
ServerSocket serve para quà;"	Esperar conex‰es em uma porta."
Socket serve para quà;"	Enviar e receber dados."
